DATE,SP500
2018-04-01,2703.1312500000000000
2018-07-01,2849.6014285714285714
2018-10-01,2698.9261904761904762
2019-01-01,2721.0044262295081967
2019-04-01,2882.3277777777777778
2019-07-01,2957.8528125000000000
2019-10-01,3082.7556250000000000
2020-01-01,3055.8691935483870968
2020-04-01,2931.6876190476190476
2020-07-01,3319.8340625000000000
2020-10-01,3554.5015625000000000
2021-01-01,3865.7068852459016393
2021-04-01,4183.6263492063492063
2021-07-01,4421.6706250000000000
2021-10-01,4602.1089062500000000
2022-01-01,4463.8554838709677419
2022-04-01,4105.6670967741935484
2022-07-01,3980.3510937500000000
2022-10-01,3851.9734920634920635
2023-01-01,4000.0645161290322581
2023-04-01,.
